Marital status,Age,Income,Settlement size,Occupation_Skilled employee/Official,Occupation_Unemployed,Sex_Male,Education_High school,Education_University
1,-0.5190992952350368,-0.5465267762333677,1,1,0,0,1,0
2,0.016814566443218378,0.217733354974624,0,1,0,1,1,0
2,2.5177459209417425,3.0010667750954827,0,0,0,1,0,1
2,0.016814566443218378,0.1206826306668026,0,1,0,1,1,0
2,-0.34046134134228506,0.5982306309429806,1,1,0,1,1,0
1,-0.2511423643959092,-0.45706709145965857,0,1,0,0,1,0
1,-1.4122890646987956,0.7864597659567629,0,1,0,0,1,0
1,-0.9656941799669161,0.14139327815043745,1,1,0,0,1,0
1,-0.4297803182886609,-0.13930331201849472,0,1,0,1,1,0
2,-0.2511423643959092,-0.7100349032549275,2,1,0,1,1,0
1,-0.8763752030205403,-0.7182274968653279,1,1,0,0,1,0
1,-0.16182338744953334,0.9395409556559948,0,0,0,0,1,0
2,-0.2511423643959092,-0.32463925837965313,2,1,0,1,1,0
2,-0.8763752030205403,-0.19241194332507705,1,1,0,1,1,0
1,1.535237174531608,-5.752094818429176e-07,2,0,0,0,0,1
1,0.5527284281214736,0.030793264410030562,2,1,0,1,0,1
2,1.4459181975852322,0.32927866797776945,0,1,0,1,1,0
2,-0.4297803182886609,0.38218678125892236,1,0,0,1,1,0
2,2.5177459209417425,-0.08301503773724646,2,1,0,1,0,1
1,-0.6977372491277886,1.6344791409298283,0,1,0,1,1,0
1,-0.5190992952350368,1.3901908950924313,1,0,0,1,1,0
2,0.3740904742287218,-1.2177751890743298,2,0,1,1,1,0
2,1.2672802436924804,-5.752094818429176e-07,0,1,0,1,1,0
2,0.016814566443218378,-0.4018100527377614,1,1,0,1,1,0
2,-0.4297803182886609,-0.6430045918971051,1,1,0,1,1,0
1,2.5177459209417425,-5.752094818429176e-07,1,0,0,0,0,0
2,2.5177459209417425,-1.3092973449667409,2,0,1,1,0,1
1,-1.4122890646987956,-0.6085441369554554,2,1,0,1,1,0
1,-0.2511423643959092,0.3818143906402678,1,1,0,0,1,0
2,1.624556151477984,2.790608784691243,0,0,0,1,1,0
2,-0.16182338744953334,-0.1061891923904423,2,0,1,1,1,0
2,0.016814566443218378,0.4316860881077758,0,1,0,1,1,0
1,-0.6084182721814126,-0.39525024876300013,1,1,0,1,1,0
2,-1.3229700877524195,0.23254304342419418,0,1,0,1,1,0
1,-0.16182338744953334,-5.752094818429176e-07,0,0,0,0,1,0
1,-0.6977372491277886,-0.5022982289100866,2,1,0,0,1,0
1,-0.7870562260741644,0.0008587877566440847,2,1,0,0,1,0
2,0.016814566443218378,0.11406553582763296,0,1,0,1,1,0
1,0.3740904742287218,1.5752403871315477,1,0,0,1,1,0
2,0.016814566443218378,0.49370344882986356,2,1,0,1,1,0
1,-0.7870562260741644,-1.558799059465302,2,0,1,1,1,0
2,-0.8763752030205403,0.27591222778134933,1,1,0,1,1,0
1,-1.3229700877524195,-0.9096935657181846,1,1,0,1,1,0
2,0.1954525203359701,-1.3052583390259491,2,0,1,1,1,0
2,0.1954525203359701,2.9236095264153326,0,0,0,1,1,0
2,0.6420474050678494,-0.2106590836391509,2,1,0,1,1,0
2,-0.8763752030205403,-0.4818453903162895,0,1,0,1,1,0
1,-1.3229700877524195,-0.2109455379611929,2,0,1,1,1,0
2,1.7138751284243599,1.0801613823464007,0,1,0,1,1,0
2,-0.2511423643959092,-0.12595454061133862,0,1,0,1,1,0
1,0.8206853589606011,-5.752094818429176e-07,2,0,1,0,0,1
2,1.2672802436924804,0.8727398077558061,1,1,0,1,1,0
2,2.5177459209417425,-5.752094818429176e-07,2,0,0,1,0,1
2,1.3565992206388564,0.3590699174701349,2,1,0,1,1,0
1,0.28477149728234596,-0.9762369047285356,2,0,1,0,0,1
2,0.016814566443218378,-5.752094818429176e-07,0,1,0,1,1,0
2,-1.144332133859668,0.3918689373439412,1,1,0,1,1,0
1,-1.055013156913292,-1.1178026306816802,1,0,1,1,1,0
1,2.5177459209417425,0.3153856333587336,2,1,0,0,0,0
1,-0.8763752030205403,-1.4731778626069554,2,0,1,1,1,0
1,-1.144332133859668,-5.752094818429176e-07,1,1,0,0,1,0
2,-0.5190992952350368,-0.8454132158519653,0,1,0,1,1,0
2,-0.34046134134228506,-5.752094818429176e-07,1,1,0,1,1,0
2,-0.5190992952350368,-5.752094818429176e-07,1,1,0,1,1,0
2,-0.7870562260741644,-0.3898362620764068,1,1,0,1,1,0
2,-0.7870562260741644,3.323786214307973,1,1,0,1,1,0
2,1.535237174531608,2.5079356597002214,1,0,0,1,1,0
2,-1.2336511108060437,-0.8161948750036837,1,1,0,1,1,0
2,-1.2336511108060437,-0.3566934970161502,0,1,0,1,1,0
2,-0.8763752030205403,0.5421142292549576,0,1,0,1,1,0
2,1.3565992206388564,0.04351183630869429,2,0,1,1,1,0
2,-0.0725044105031575,0.04989976769023036,2,1,0,1,1,0
1,-0.9656941799669161,-1.4297513873853918,2,0,1,1,1,0
2,0.5527284281214736,-1.2003874117263817,2,0,1,1,1,0
2,-0.5190992952350368,0.32085691090973534,2,0,0,1,1,0
2,-1.144332133859668,-5.752094818429176e-07,0,0,1,1,1,0
1,2.249788990102615,0.3023806071380279,2,0,1,1,0,1
1,-0.0725044105031575,-0.3673495977961117,1,1,0,0,1,0
2,0.28477149728234596,-0.1406210018998878,1,1,0,1,1,0
1,-0.6084182721814126,-0.6078566465825547,2,1,0,0,1,0
2,1.3565992206388564,-0.12134262602646283,1,1,0,1,1,0
2,-1.055013156913292,0.08940181869981882,1,1,0,1,1,0
1,-0.7870562260741644,-0.5793257961071738,2,1,0,0,1,0
1,-0.0725044105031575,0.139588615921573,2,0,1,0,1,0
2,-0.9656941799669161,-0.8081455085543042,0,1,0,1,1,0
2,1.4459181975852322,-0.33993591917669463,0,1,0,1,1,0
2,-0.0725044105031575,-0.20776589498652695,2,1,0,1,1,0
2,-0.8763752030205403,-0.08625197157632078,1,1,0,1,1,0
1,0.016814566443218378,-0.9003838002518204,0,1,0,0,1,0
1,0.28477149728234596,-0.14703757871362805,2,0,1,0,0,1
1,0.910004335906977,-5.752094818429176e-07,2,0,1,0,0,1
0,-1.055013156913292,-0.12469414159435394,1,1,0,0,1,0
2,-0.0725044105031575,0.602642027502427,0,1,0,1,1,0
2,-1.055013156913292,-5.752094818429176e-07,1,1,0,1,1,0
2,-0.7870562260741644,0.32996615835067017,2,0,1,1,1,0
2,-0.0725044105031575,-5.752094818429176e-07,2,0,1,1,1,0
1,-0.6084182721814126,-0.3839639484745463,0,1,0,1,1,0
1,-1.144332133859668,0.4384177646757622,1,1,0,0,1,0
1,1.8925130823171115,-0.37496928276242825,2,0,1,0,0,1
2,-0.7870562260741644,-0.652715393414328,1,1,0,1,1,0
1,1.7138751284243599,0.17545269704122837,0,1,0,0,0,1
2,0.016814566443218378,1.414654094194816,1,0,0,1,1,0
1,1.8925130823171115,-0.32332156849826,1,0,1,0,0,1
2,-0.34046134134228506,-1.5149715481928796,2,0,1,1,1,0
2,0.10613354338959424,-0.40152359841571944,2,1,0,1,1,0
2,0.016814566443218378,0.8308601858732692,2,1,0,1,1,0
1,0.1954525203359701,-0.2322577395211159,2,1,0,0,1,0
1,0.8206853589606011,2.7189665587485448,1,0,0,1,0,1
2,-0.9656941799669161,-0.8793580530139394,1,1,0,1,1,0
2,-0.34046134134228506,-0.26210627987788976,0,1,0,1,1,0
1,0.10613354338959424,0.4823025668125929,1,1,0,0,1,0
2,0.016814566443218378,3.5608844566621163,0,0,0,1,1,0
2,-0.6977372491277886,0.013749232248533,1,1,0,1,1,0
1,-0.16182338744953334,1.5793653293689522,2,0,1,1,1,0
2,-0.34046134134228506,-0.25248141465727936,1,1,0,1,1,0
1,-0.8763752030205403,-0.26694735792039914,2,1,0,0,1,0
1,1.1779612667461046,-1.030233544433448,2,0,1,1,0,1
1,-0.34046134134228506,0.47706045271922476,0,1,0,0,1,0
2,-0.6084182721814126,0.7061666194883971,0,0,0,1,1,0
2,-1.144332133859668,0.8865182606460251,1,1,0,1,1,0
2,1.2672802436924804,-0.1499594127984562,1,1,0,1,1,0
2,1.1779612667461046,-0.5520266992165735,2,0,1,1,1,0
2,2.4284269439953667,0.1322553852772984,0,1,0,1,0,1
1,0.10613354338959424,-5.752094818429176e-07,1,1,0,1,1,0
1,-0.0725044105031575,1.3667589315493978,1,0,1,0,1,0
2,-0.8763752030205403,0.18544995288049335,0,1,0,1,1,0
2,-0.4297803182886609,2.5719295552443984,0,0,0,1,1,0
0,1.1779612667461046,-5.752094818429176e-07,1,1,0,0,0,1
0,1.0886422897997288,-0.2591844457930616,1,1,0,1,0,1
1,-0.8763752030205403,-0.7475890648746305,2,1,0,1,1,0
1,-0.6977372491277886,2.70378447968032,1,0,0,1,1,0
0,0.7313663820142253,2.1078449081041932,1,0,0,0,0,1
2,1.8031941053707357,1.3887872689144256,1,1,0,1,1,0
1,0.910004335906977,-5.752094818429176e-07,1,0,0,1,0,1
1,-0.8763752030205403,2.068743893145464,0,1,0,0,1,0
1,-1.4122890646987956,0.2204546710340228,0,1,0,0,1,0
2,0.8206853589606011,-1.2025071737094923,2,0,1,1,1,0
2,0.6420474050678494,-5.752094818429176e-07,1,1,0,1,1,0
2,-0.34046134134228506,1.1786730236966363,0,1,0,1,1,0
1,1.624556151477984,-1.8221365177184905,2,0,1,0,0,1
1,0.5527284281214736,0.7414864373961727,1,1,0,0,0,1
2,0.10613354338959424,-0.8540354909454287,2,0,1,1,1,0
2,1.1779612667461046,-0.3202278618202067,2,1,0,1,1,0
2,0.7313663820142253,-5.752094818429176e-07,2,1,0,1,1,0
1,-0.2511423643959092,-5.752094818429176e-07,1,1,0,1,1,0
0,0.016814566443218378,-0.5100897864696283,2,0,1,0,1,0
1,-0.2511423643959092,-1.1562734461319175,1,0,1,1,1,0
1,-1.055013156913292,-0.3757713548641458,0,1,0,0,1,0
1,-1.2336511108060437,-1.6605476346546117,2,0,1,1,1,0
2,0.3740904742287218,-0.7924764571386081,2,0,1,1,1,0
2,-0.9656941799669161,0.7481321776675466,2,1,0,1,1,0
1,-0.8763752030205403,0.6185402423757567,1,1,0,0,1,0
1,-0.9656941799669161,-1.4795371485562872,2,0,1,1,1,0
2,-0.6084182721814126,-0.9956012168985732,2,0,1,1,1,0
2,-0.4297803182886609,-0.261848470988052,0,1,0,1,1,0
2,0.1954525203359701,-1.5217032247608662,2,0,1,1,1,0
1,1.0886422897997288,0.16963767430377627,2,0,1,0,0,1
2,-0.34046134134228506,-0.8013565411219093,0,1,0,1,1,0
2,-0.7870562260741644,-0.762742498510651,2,0,1,0,1,0
1,-0.6977372491277886,1.2878407658268334,1,0,0,1,1,0
1,-0.34046134134228506,-0.3734510748556058,1,1,0,1,1,0
2,-0.16182338744953334,0.7111795701241317,2,0,0,1,1,0
2,-0.6977372491277886,0.8058240781268005,2,1,0,1,1,0
1,0.016814566443218378,-0.41682025921276095,0,1,0,0,1,0
2,0.28477149728234596,-0.7591045286207179,2,0,1,1,1,0
2,1.1779612667461046,0.9895845257167281,0,1,0,1,1,0
1,-0.16182338744953334,0.8342689923055687,0,1,0,0,1,0
2,-0.4297803182886609,0.7286819292008964,2,1,0,1,1,0
2,-0.6977372491277886,-0.5340373677923375,0,1,0,1,1,0
2,2.5177459209417425,2.6669178084335177,1,0,0,1,0,1
1,-0.5190992952350368,0.06267563045330247,2,1,0,0,1,0
1,-1.055013156913292,2.567317640659523,1,0,0,0,1,0
1,-1.055013156913292,1.7408109852718097,2,0,1,0,1,0
2,-1.144332133859668,-0.06955168460127359,1,1,0,1,1,0
1,0.7313663820142253,1.1577905036197762,1,0,0,1,0,1
1,-1.144332133859668,-1.020379515755204,2,0,1,0,1,0
1,-1.055013156913292,-0.623124661947392,0,1,0,0,1,0
2,-0.6977372491277886,0.06092825908884643,0,1,0,1,1,0
2,-0.4297803182886609,-1.1125318711561079,2,0,1,1,1,0
1,-1.055013156913292,-5.752094818429176e-07,1,1,0,0,1,0
1,-0.8763752030205403,-0.797689925799772,2,0,1,0,1,0
1,-0.9656941799669161,0.8484484812466465,1,1,0,1,1,0
2,-0.2511423643959092,1.3665870589561724,1,0,0,1,1,0
2,0.10613354338959424,-0.13767052238285546,2,0,1,1,1,0
1,0.6420474050678494,-0.9977209788816839,2,0,1,0,0,1
2,0.016814566443218378,-5.752094818429176e-07,0,1,0,1,1,0
0,-1.144332133859668,-5.752094818429176e-07,2,0,1,0,1,0
2,-0.16182338744953334,-0.9417764497868859,2,0,1,1,1,0
2,-0.34046134134228506,0.7362156778706004,1,1,0,1,1,0
1,-1.144332133859668,-0.6566971084907115,2,1,0,0,1,0
1,-0.6084182721814126,-0.337959384354605,0,1,0,0,1,0
2,0.1954525203359701,0.8902994576969792,1,0,0,1,1,0
2,-0.6977372491277886,0.619170441884249,1,1,0,1,1,0
2,0.910004335906977,0.2991436732989536,0,1,0,1,1,0
2,-1.144332133859668,-1.4587119193438356,2,0,1,1,1,0
2,1.1779612667461046,-5.752094818429176e-07,0,1,0,1,1,0
2,-0.8763752030205403,0.9554391705293245,0,0,0,1,1,0
1,-0.6977372491277886,-0.7843984452570244,2,1,0,1,1,0
1,-1.144332133859668,-0.33495161397316425,0,1,0,0,1,0
2,2.249788990102615,0.26708943466245644,0,1,0,1,0,1
2,0.10613354338959424,1.4298075278308366,2,0,0,1,1,0
1,0.016814566443218378,-5.752094818429176e-07,1,1,0,0,1,0
1,-1.3229700877524195,-5.752094818429176e-07,0,1,0,1,1,0
2,-0.9656941799669161,-2.192751119576399,2,0,1,1,1,0
2,0.016814566443218378,-0.47869439277382775,2,1,0,1,1,0
2,-0.7870562260741644,-0.04964310921935626,1,1,0,1,1,0
0,-1.2336511108060437,-0.015698272057382123,1,1,0,0,1,0
2,0.5527284281214736,0.18201250101598962,1,1,0,1,1,0
1,0.3740904742287218,0.47494069073611417,0,1,0,0,0,1
2,0.016814566443218378,-0.05600239516868813,1,1,0,1,1,0
2,-0.2511423643959092,0.6979453804457924,1,1,0,1,1,0
0,-1.144332133859668,-0.4064506127548414,2,1,0,0,1,0
2,2.4284269439953667,-5.752094818429176e-07,0,0,0,1,0,1
0,2.1604700131562393,5.417767308434816,0,0,0,0,0,1
1,0.10613354338959424,1.4366824315598439,1,1,0,0,1,0
1,-0.16182338744953334,-0.22269016516491388,2,1,0,1,1,0
2,0.016814566443218378,-0.6700745253300718,1,1,0,1,1,0
2,1.8925130823171115,4.63170800331943,1,0,0,1,0,1
1,1.4459181975852322,-0.7069984874412825,2,0,1,0,0,1
2,0.28477149728234596,-0.22586980813957983,0,1,0,1,1,0
1,0.1954525203359701,-5.752094818429176e-07,0,0,0,0,1,0
1,-0.9656941799669161,-0.5980599087687191,2,1,0,0,1,0
2,-0.8763752030205403,-0.2498746803266974,0,1,0,1,1,0
2,-0.8763752030205403,-0.4291091496283617,2,0,1,1,1,0
1,-0.9656941799669161,-0.3354385863206356,2,1,0,0,1,0
1,-1.3229700877524195,-0.7326647946962436,1,1,0,0,1,0
2,0.3740904742287218,2.333656850169883,1,0,0,1,1,0
2,-0.7870562260741644,0.562481131552142,0,1,0,1,1,0
0,-0.7870562260741644,-0.506709625469533,1,1,0,0,1,0
1,0.016814566443218378,0.40776715221727083,1,0,0,1,1,0
1,-1.5016080416451714,-0.259098509496449,2,0,1,0,1,0
2,0.28477149728234596,0.9186584355791348,1,0,0,1,1,0
1,-0.4297803182886609,-0.27562692387827104,0,1,0,0,1,0
2,-0.4297803182886609,0.5040158044233747,0,0,0,1,1,0
2,-0.34046134134228506,2.8843366388633775,0,1,0,1,1,0
0,1.7138751284243599,1.3029369085984455,0,0,0,0,0,1
1,0.910004335906977,0.05920953315659457,2,1,0,1,0,1
1,0.910004335906977,-5.752094818429176e-07,2,1,0,1,0,1
0,0.6420474050678494,0.17808807680401456,2,0,1,0,0,1
1,0.28477149728234596,-0.3413681907869045,0,1,0,1,1,0
0,-0.6977372491277886,-0.22105737552927462,1,1,0,1,1,0
2,-0.7870562260741644,1.2697654981059847,1,1,0,1,1,0
2,-0.7870562260741644,-1.7472000670723096,2,0,1,1,1,0
2,0.6420474050678494,0.3122632812484761,2,1,0,1,1,0
1,-1.2336511108060437,-5.752094818429176e-07,2,1,0,1,1,0
2,0.6420474050678494,-0.13861582164559397,1,1,0,1,1,0
1,-0.7870562260741644,-0.7310606504928084,0,1,0,1,1,0
1,-0.8763752030205403,1.4789057986288312,2,0,0,1,1,0
1,-0.6977372491277886,0.5494761053314363,0,1,0,1,1,0
1,-1.4122890646987956,-0.2664317401407236,1,1,0,0,1,0
2,-0.0725044105031575,1.9283239844804871,0,0,0,1,1,0
2,0.5527284281214736,0.7240413691838163,2,0,0,1,1,0
2,0.3740904742287218,-0.45809832701900965,2,0,1,1,1,0
1,-0.0725044105031575,-0.342599944371685,1,1,0,0,1,0
2,-0.0725044105031575,-5.752094818429176e-07,0,1,0,1,1,0
2,-0.2511423643959092,-5.752094818429176e-07,2,0,1,1,1,0
0,-1.144332133859668,1.3329000306840362,1,1,0,0,1,0
1,-0.4297803182886609,1.5840345348182363,1,0,0,0,1,0
0,-0.2511423643959092,-0.223721400724265,1,1,0,0,1,0
