,ID,Sex,Marital status,Age,Education,Income,Occupation,Settlement size
134,100000135,Female,Married,21.0,High school,194728.0,Skilled employee/Official,Small city
135,100000136,Female,Non-single,38.0,High school,109311.0,Skilled employee/Official,Big city
136,100000137,Male,Single,27.0,Unknown,,Skilled employee/Official,Big city
137,100000138,Male,Single,66.0,,126003.0,Unemployed,Small city
138,100000139,Male,Single,35.0,High school,123109.0,Skilled employee/Official,Mid-sized city
139,100000140,Female,Non-single,44.0,University,108251.0,Unemployed,Small city
140,100000141,Male,Non-single,27.0,High school,89908.0,Unemployed,Small city
141,100000142,Female,Non-single,30.0,High school,176057.0,Management/High qualified employee,Mid-sized city
142,100000143,Male,Single,27.0,Unknown,144332.0,Management/High qualified employee,Big city
143,100000144,Male,Single,22.0,Unknown,101185.0,Skilled employee/Official,Mid-sized city
144,100000145,Female,Non-single,23.0,High school,107406.0,Skilled employee/Official,Big city
145,100000146,Male,Single,30.0,Unknown,140665.0,Skilled employee/Official,Mid-sized city
146,100000147,Female,Non-single,39.0,University,106461.0,Skilled employee/Official,Small city
147,100000148,Female,Non-single,51.0,University,127825.0,Skilled employee/Official,Small city
148,100000149,Male,Single,28.0,Unknown,133898.0,Skilled employee/Official,Mid-sized city
149,100000150,Male,Single,46.0,High school,152383.0,Skilled employee/Official,Big city
150,100000151,Male,Single,42.0,High school,119926.0,Skilled employee/Official,Small city
151,100000152,Male,Single,38.0,High school,108784.0,Skilled employee/Official,Big city
152,100000153,Male,Single,24.0,Unknown,153286.0,Skilled employee/Official,Mid-sized city
153,100000154,Female,Non-single,29.0,High school,214204.0,Skilled employee/Official,Big city
154,100000155,Male,Single,36.0,High school,208101.0,Management/High qualified employee,Big city
155,100000156,Female,Non-single,20.0,High school,95355.0,Skilled employee/Official,Mid-sized city
156,100000157,Male,Single,48.0,High school,,Skilled employee/Official,Mid-sized city
157,100000158,Male,Non-single,45.0,University,72215.0,Unemployed,Small city
158,100000159,Male,Single,,High school,,Skilled employee/Official,Big city
159,100000160,Male,Single,34.0,High school,75343.0,Unemployed,Small city
160,100000161,Male,Single,36.0,High school,129789.0,Skilled employee/Official,Mid-sized city
161,100000162,Female,Non-single,30.0,High school,101153.0,Skilled employee/Official,Mid-sized city
162,100000163,Male,Single,36.0,High school,127833.0,Skilled employee/Official,Big city
163,100000164,Male,Single,70.0,University,224998.0,Management/High qualified employee,Big city
164,100000165,Male,Single,36.0,High school,124445.0,Skilled employee/Official,Big city
165,100000166,Male,Single,32.0,Unknown,141116.0,Skilled employee/Official,Mid-sized city
166,100000167,Female,Non-single,33.0,High school,104276.0,Skilled employee/Official,Big city
167,100000168,Female,Non-single,20.0,High school,147687.0,Skilled employee/Official,Big city
168,100000169,Female,Non-single,25.0,High school,125168.0,Skilled employee/Official,Medium sized city
169,100000170,Male,Non-single,31.0,High school,115369.0,Skilled employee/Official,Big city
170,100000171,Male,Single,33.0,High school,95445.0,Skilled employee/Official,Small city
171,100000172,Female,Non-single,26.0,High school,95159.0,Skilled employee/Official,Mid-sized city
172,100000173,Female,Non-single,34.0,High school,153031.0,Management/High qualified employee,Big city
173,100000174,Male,Single,33.0,High school,108899.0,Skilled employee/Official,Small city
174,100000175,Male,Single,26.0,Unknown,113515.0,Skilled employee/Official,Mid-sized city
175,100000176,Female,Non-single,53.0,University,,Management/High qualified employee,Small city
176,100000177,Male,Non-single,42.0,University,121307.0,Skilled employee/Official,Small city
177,100000178,Male,Single,52.0,High school,131727.0,Skilled employee/Official,Big city
178,100000179,Male,Single,31.0,Unknown,133574.0,Management/High qualified employee,Mid-sized city
179,100000180,Male,Single,65.0,University,117334.0,Skilled employee/Official,Small city
180,100000181,Male,Non-single,28.0,High school,177291.0,Skilled employee/Official,Big city
181,100000182,Male,Non-single,30.0,High school,168763.0,Management/High qualified employee,Mid-sized city
182,100000183,Male,Single,40.0,High school,77720.0,Unemployed,Small city
183,100000184,Male,Single,50.0,High school,,Skilled employee/Official,Big city
184,100000185,Male,Single,36.0,High school,106205.0,Skilled employee/Official,Mid-sized city
185,100000186,Male,Single,31.0,Unknown,97785.0,Skilled employee/Official,Mid-sized city
186,100000187,Female,Non-single,74.0,Graduate school,,Management/High qualified employee,Mid-sized city
187,100000188,Male,Single,68.0,University,74525.0,Unemployed,Small city
188,100000189,Male,Non-single,20.0,High school,98988.0,Skilled employee/Official,Small city
189,100000190,Female,Non-single,33.0,High school,133561.0,Skilled employee/Official,Mid-sized city
190,100000191,Male,Single,54.0,High school,217651.0,Management/High qualified employee,Big city
191,100000192,Male,Single,34.0,High school,116525.0,Unemployed,Small city
192,100000193,Male,Single,36.0,High school,135302.0,Skilled employee/Official,Big city
193,100000194,Male,Non-single,29.0,High school,106434.0,Skilled employee/Official,Mid-sized city
194,100000195,Male,Single,21.0,Unknown,128350.0,Skilled employee/Official,Big city
195,100000196,Female,Non-single,34.0,High school,,Management/High qualified employee,Big city
196,100000197,Female,Non-single,28.0,High school,102697.0,Skilled employee/Official,Small city
197,100000198,Female,Non-single,27.0,High school,120262.0,Skilled employee/Official,Small city
198,100000199,Male,Single,36.0,High school,124214.0,Skilled employee/Official,Big city
199,100000200,Male,Non-single,40.0,High school,175223.0,Management/High qualified employee,Medium sized city
200,100000201,Male,Single,,High school,137467.0,Skilled employee/Official,Small city
201,100000202,Male,Non-single,27.0,High school,65815.0,Unemployed,Small city
202,100000203,Male,Single,26.0,Unknown,129864.0,Skilled employee/Official,Mid-sized city
203,100000204,Male,Non-single,21.0,High school,88475.0,Skilled employee/Official,Mid-sized city
204,100000205,Male,Single,38.0,High school,74666.0,Unemployed,Small city
205,100000206,Male,Single,38.0,High school,222294.0,Management/High qualified employee,Big city
206,100000207,Male,Single,43.0,High school,112878.0,Skilled employee/Official,Small city
207,100000208,Male,Single,26.0,Unknown,103411.0,Skilled employee/Official,Big city
208,100000209,Male,Non-single,21.0,High school,112868.0,Unemployed,Small city
209,100000210,Male,Single,55.0,High school,157940.0,Skilled employee/Official,Big city
210,100000211,Male,Single,33.0,High school,115835.0,Skilled employee/Official,Big city
211,100000212,Female,Non-single,45.0,University,,Unemployed,Small city
212,100000213,Male,Single,50.0,High school,150699.0,Skilled employee/Official,Mid-sized city
213,100000214,Male,Single,66.0,University,,Management/High qualified employee,Small city
214,100000215,Male,Single,51.0,High school,132767.0,Skilled employee/Official,Small city
215,100000216,Female,Non-single,39.0,University,86152.0,Unemployed,Small city
216,100000217,Male,Single,,Unknown,,Skilled employee/Official,Big city
217,100000218,Male,Single,23.0,Unknown,133912.0,Skilled employee/Official,Mid-sized city
218,100000219,Male,Non-single,24.0,High school,81210.0,Unemployed,Medium sized city
219,100000220,Female,Non-single,64.0,Graduate school,131242.0,Skilled employee/Official,Small city
220,100000221,Male,Non-single,26.0,High school,68804.0,Unemployed,Small city
221,100000222,Female,Non-single,23.0,,,Skilled employee/Official,Mid-sized city
222,100000223,Male,Single,30.0,Unknown,90719.0,Skilled employee/Official,Big city
223,100000224,Male,Single,32.0,Unknown,,Skilled employee/Official,Mid-sized city
224,100000225,Male,Single,30.0,Unknown,,Skilled employee/Official,Mid-sized city
225,100000226,Male,Single,27.0,Unknown,106623.0,Skilled employee/Official,Mid-sized city
226,100000227,Male,Single,27.0,Unknown,236264.0,Skilled employee/Official,Mid-sized city
227,100000228,Male,,53.0,High school,207783.0,Management/High qualified employee,Mid-sized city
228,100000229,Male,Single,22.0,Unknown,91739.0,Skilled employee/Official,Mid-sized city
229,100000230,Male,Single,22.0,Unknown,107780.0,Skilled employee/Official,Big city
230,100000231,Male,Single,26.0,Unknown,139157.0,Skilled employee/Official,Big city
231,100000232,Male,Single,51.0,High school,121751.0,Unemployed,Small city
232,100000233,Male,Single,35.0,High school,121974.0,Skilled employee/Official,Small city
233,100000234,Male,Non-single,25.0,High school,70320.0,Unemployed,Small city
234,100000235,Male,Single,42.0,High school,78327.0,Unemployed,Small city
235,100000236,Male,Single,30.0,Unknown,131433.0,Management/High qualified employee,Small city
236,100000237,Male,Single,23.0,Unknown,,Unemployed,Big city
237,100000238,Male,Non-single,61.0,University,130788.0,Unemployed,Small city
238,100000239,Female,Non-single,35.0,High school,107408.0,Skilled employee/Official,Mid-sized city
239,100000240,Male,Single,39.0,High school,115323.0,Skilled employee/Official,Mid-sized city
240,100000241,Female,Non-single,29.0,High school,99012.0,Skilled employee/Official,Small city
241,100000242,Male,Single,51.0,High school,115996.0,Skilled employee/Official,Mid-sized city
242,100000243,Male,Single,24.0,Unknown,123353.0,Skilled employee/Official,Mid-sized city
243,100000244,Female,Non-single,27.0,High school,100008.0,Skilled employee/Official,Small city
244,100000245,Female,Non-single,35.0,High school,125105.0,Unemployed,Small city
245,100000246,Male,Single,25.0,Unknown,92020.0,Skilled employee/Official,Big city
246,100000247,Male,Single,52.0,High school,108365.0,Skilled employee/Official,Big city
247,100000248,Male,Single,35.0,High school,112979.0,Skilled employee/Official,Small city
248,100000249,Male,Single,26.0,Unknown,117221.0,Skilled employee/Official,Mid-sized city
249,100000250,Female,Non-single,,High school,88800.0,,Big city
250,100000251,Female,Non-single,39.0,University,115099.0,Unemployed,Small city
251,100000252,Female,Non-single,46.0,University,,Unemployed,Small city
252,100000253,Female,Married,24.0,High school,115879.0,Skilled employee/Official,Mid-sized city
253,100000254,Male,Single,35.0,High school,141270.0,Skilled employee/Official,Big city
254,100000255,Male,Single,24.0,Unknown,,Skilled employee/Official,Mid-sized city
255,100000256,Male,Single,27.0,Unknown,131751.0,Unemployed,Small city
256,100000257,Male,Single,35.0,High school,,Unemployed,Small city
257,100000258,Male,Non-single,29.0,High school,106828.0,Skilled employee/Official,Big city
258,100000259,Female,Non-single,23.0,High school,135537.0,Skilled employee/Official,Mid-sized city
259,100000260,Female,Non-single,57.0,University,107142.0,Unemployed,Small city
260,100000261,Male,Single,27.0,Unknown,97446.0,Skilled employee/Official,Mid-sized city
261,100000262,Female,Non-single,55.0,University,126357.0,Skilled employee/Official,Big city
262,100000263,Male,Single,36.0,High school,169617.0,Management/High qualified employee,Mid-sized city
263,100000264,Female,Non-single,57.0,University,108945.0,Unemployed,Medium sized city
264,100000265,Male,Single,32.0,Unknown,67345.0,Unemployed,Small city
265,100000266,Male,Single,37.0,High school,106215.0,Skilled employee/Official,Small city
266,100000267,Male,Single,36.0,High school,149237.0,Skilled employee/Official,Small city
267,100000268,Female,Non-single,38.0,High school,112124.0,Skilled employee/Official,Small city
268,100000269,Male,Non-single,45.0,University,215150.0,Management/High qualified employee,Medium sized city
269,100000270,Male,Single,25.0,Unknown,89534.0,Skilled employee/Official,Mid-sized city
270,100000271,Male,Single,32.0,Unknown,111082.0,Skilled employee/Official,Big city
271,100000272,Female,Non-single,37.0,High school,137069.0,Skilled employee/Official,Mid-sized city
272,100000273,Male,Single,36.0,High school,244541.0,Management/High qualified employee,Big city
273,100000274,Male,Single,28.0,Unknown,120712.0,Skilled employee/Official,Mid-sized city
274,100000275,Male,Non-single,34.0,High school,175367.0,Unemployed,Small city
275,100000276,Male,Single,32.0,Unknown,111418.0,Skilled employee/Official,Mid-sized city
276,100000277,Female,Non-single,26.0,High school,110913.0,Skilled employee/Official,Small city
277,100000278,Male,Non-single,49.0,University,84267.0,Unemployed,Small city
278,100000279,Female,Non-single,32.0,High school,136886.0,Skilled employee/Official,Big city
279,100000280,Male,Single,29.0,Unknown,144884.0,Management/High qualified employee,Big city
280,100000281,Male,Single,23.0,Unknown,151180.0,Skilled employee/Official,Mid-sized city
281,100000282,Male,Single,50.0,High school,114997.0,Skilled employee/Official,Mid-sized city
282,100000283,Male,Single,49.0,High school,100961.0,Unemployed,Small city
283,100000284,Male,Single,63.0,University,124849.0,Skilled employee/Official,Big city
284,100000285,Male,Non-single,37.0,High school,,Skilled employee/Official,Medium sized city
285,100000286,Female,Non-single,35.0,High school,167945.0,Unemployed,Mid-sized city
286,100000287,Male,Single,26.0,Unknown,126706.0,Skilled employee/Official,Big city
287,100000288,Male,Single,31.0,Unknown,210017.0,Management/High qualified employee,Big city
288,100000289,Female,Married,49.0,University,,Skilled employee/Official,Mid-sized city
289,100000290,Male,Married,48.0,University,111184.0,Skilled employee/Official,Mid-sized city
290,100000291,Male,Non-single,26.0,High school,94134.0,Skilled employee/Official,Small city
291,100000292,Male,Non-single,28.0,High school,214620.0,Management/High qualified employee,Mid-sized city
292,100000293,Female,Married,44.0,University,193816.0,Management/High qualified employee,Mid-sized city
293,100000294,Male,Single,56.0,High school,168714.0,Skilled employee/Official,Mid-sized city
294,100000295,Male,Non-single,46.0,University,,Management/High qualified employee,Mid-sized city
295,100000296,Female,Non-single,26.0,High school,192451.0,Skilled employee/Official,Big city
296,100000297,Female,Non-single,20.0,High school,127928.0,Skilled employee/Official,Big city
297,100000298,Male,Single,45.0,High school,78253.0,Unemployed,Small city
298,100000299,Male,Single,43.0,High school,,Skilled employee/Official,Mid-sized city
299,100000300,Male,Single,32.0,Unknown,161379.0,Skilled employee/Official,Big city
300,100000301,Female,Non-single,54.0,University,56622.0,Unemployed,Small city
301,100000302,Female,Non-single,42.0,University,146117.0,Skilled employee/Official,Mid-sized city
302,100000303,Male,Single,37.0,High school,90418.0,Unemployed,Small city
303,100000304,Male,Single,49.0,High school,109053.0,Skilled employee/Official,Small city
304,100000305,Male,Single,44.0,High school,,Skilled employee/Official,Small city
305,100000306,Male,Non-single,33.0,,,Skilled employee/Official,Mid-sized city
306,100000307,Female,Married,,High school,102425.0,Unemployed,Small city
307,100000308,Male,Non-single,33.0,High school,79867.0,Unemployed,Mid sized city
308,100000309,Female,Non-single,24.0,High school,107114.0,Skilled employee/Official,Big city
309,100000310,Male,Non-single,22.0,,62263.0,Unemployed,Small city
310,100000311,Male,Single,40.0,High school,92567.0,Unemployed,Small city
311,100000312,Male,Single,25.0,Unknown,146349.0,Skilled employee/Official,Small city
312,100000313,Female,Non-single,26.0,High school,141825.0,Skilled employee/Official,Mid-sized city
313,100000314,Male,Non-single,25.0,High school,68582.0,Unemployed,Small city
314,100000315,Male,Single,29.0,Unknown,85476.0,Unemployed,Small city
315,100000316,Male,Single,31.0,Unknown,111091.0,Skilled employee/Official,Big city
316,100000317,Male,Single,38.0,High school,67110.0,Unemployed,Small city
317,100000318,Female,Non-single,48.0,University,126154.0,Unemployed,Small city
318,100000319,Male,Single,32.0,Unknown,92257.0,Skilled employee/Official,Big city
319,100000320,Female,,27.0,High school,93605.0,Unemployed,Small city
320,100000321,Male,Non-single,28.0,High school,165190.0,Management/High qualified employee,Medium sized city
321,100000322,Male,Non-single,32.0,High school,107195.0,Skilled employee/Official,Medium sized city
322,100000323,Male,Single,34.0,High school,145059.0,Management/High qualified employee,Small city
323,100000324,Male,Single,28.0,Unknown,148363.0,Skilled employee/Official,Small city
324,100000325,Female,Non-single,36.0,High school,105681.0,Skilled employee/Official,Big city
325,100000326,Male,Single,39.0,High school,93732.0,Unemployed,Small city
326,100000327,Male,Single,49.0,High school,154778.0,Skilled employee/Official,Big city
327,100000328,Female,Non-single,34.0,High school,149356.0,Skilled employee/Official,Big city
328,100000329,Male,Single,31.0,Unknown,145670.0,Skilled employee/Official,
329,100000330,Male,Single,28.0,Unknown,101589.0,Skilled employee/Official,Big city
330,100000331,Male,Single,75.0,University,213333.0,Management/High qualified employee,Mid-sized city
331,100000332,Female,Non-single,30.0,High school,122420.0,Skilled employee/Official,Small city
332,100000333,Female,Non-single,24.0,High school,209856.0,Management/High qualified employee,Mid-sized city
333,100000334,Female,Non-single,24.0,High school,181003.0,Unemployed,Small city
334,100000335,Male,Single,23.0,Unknown,117804.0,Skilled employee/Official,Mid-sized city
335,100000336,Male,Non-single,44.0,University,160650.0,Management/High qualified employee,Mid-sized city
336,100000337,Female,Non-single,23.0,High school,84611.0,Unemployed,Small city
337,100000338,Female,Non-single,24.0,High school,98479.0,Skilled employee/Official,Big city
338,100000339,Male,Single,28.0,Unknown,122359.0,Skilled employee/Official,Big city
339,100000340,Male,,31.0,High school,81394.0,Unemployed,Small city
340,100000341,Female,Non-single,24.0,High school,,Skilled employee/Official,Mid-sized city
341,100000342,Female,Non-single,26.0,High school,92385.0,Unemployed,Small city
342,100000343,Male,Non-single,25.0,High school,149851.0,Skilled employee/Official,Medium sized city
343,100000344,Male,Single,33.0,High school,167939.0,Management/High qualified employee,Mid-sized city
344,100000345,Male,Single,37.0,High school,115426.0,Unemployed,Small city
345,100000346,Female,Non-single,43.0,University,85402.0,Unemployed,Small city
346,100000347,Male,Single,,Unknown,,Skilled employee/Official,Big city
347,100000348,Female,Married,23.0,High school,,Unemployed,Small city
348,100000349,Male,Single,34.0,High school,87355.0,Unemployed,Small city
349,100000350,Male,Single,32.0,Unknown,145933.0,Skilled employee/Official,Mid-sized city
350,100000351,Female,Non-single,23.0,High school,97307.0,Skilled employee/Official,Small city
351,100000352,Female,Non-single,29.0,High school,108434.0,Skilled employee/Official,Big city
352,100000353,Male,Single,38.0,High school,151312.0,Management/High qualified employee,Mid-sized city
353,100000354,Male,Single,28.0,Unknown,141847.0,Skilled employee/Official,Mid-sized city
354,100000355,Male,Single,46.0,High school,130675.0,Skilled employee/Official,Big city
355,100000356,Male,Single,23.0,Unknown,69309.0,Unemployed,Small city
356,100000357,Male,Single,49.0,High school,,Skilled employee/Official,Big city
